Datetime,Episode,Validation_Score
2023-10-07 17:21:28,3250,2955
2023-10-07 17:21:37,3260,2955
2023-10-07 17:21:46,3270,2955
2023-10-07 17:21:55,3280,2955
2023-10-07 17:22:03,3290,2955
2023-10-07 17:22:12,3300,2955
2023-10-07 17:22:21,3310,2955
2023-10-07 17:22:30,3320,2955
2023-10-07 17:22:39,3330,2955
2023-10-07 17:22:47,3340,2955
2023-10-07 17:22:56,3350,2955
2023-10-07 17:23:04,3360,2955
2023-10-07 17:23:14,3370,2955
2023-10-07 17:23:23,3380,2955
2023-10-07 17:23:32,3390,2955
2023-10-07 17:23:40,3400,2955
2023-10-07 17:23:49,3410,2955
2023-10-07 17:23:58,3420,2955
2023-10-07 17:24:06,3430,2955
2023-10-07 17:24:15,3440,2955
2023-10-07 17:24:24,3450,2955
2023-10-07 17:24:32,3460,2955
2023-10-07 17:24:41,3470,2955
2023-10-07 17:24:49,3480,2955
2023-10-07 17:24:58,3490,2955
2023-10-07 17:25:06,3500,2951
2023-10-07 17:25:15,3510,2955
2023-10-07 17:25:24,3520,2955
2023-10-07 17:25:33,3530,2955
2023-10-07 17:25:41,3540,2955
2023-10-07 17:25:51,3550,2955
2023-10-07 17:25:59,3560,2951
2023-10-07 17:26:08,3570,2955
2023-10-07 17:26:17,3580,2955
2023-10-07 17:26:25,3590,2951
2023-10-07 17:26:34,3600,2955
2023-10-07 17:26:43,3610,2955
2023-10-07 17:26:52,3620,2955
2023-10-07 17:27:00,3630,2955
2023-10-07 17:27:09,3640,2955
2023-10-07 17:27:18,3650,2955
2023-10-07 17:27:26,3660,2955
2023-10-07 17:27:35,3670,2955
2023-10-07 17:27:44,3680,2955
2023-10-07 17:27:53,3690,2955
2023-10-07 17:28:02,3700,2955
2023-10-07 17:28:12,3710,2955
2023-10-07 17:28:20,3720,2955
2023-10-07 17:28:29,3730,2955
2023-10-07 17:28:38,3740,2955
2023-10-07 17:28:46,3750,2921
2023-10-07 17:28:55,3760,2951
2023-10-07 17:29:04,3770,2955
2023-10-07 17:29:13,3780,2955
2023-10-07 17:29:22,3790,2955
2023-10-07 17:29:30,3800,2955
2023-10-07 17:29:40,3810,2955
2023-10-07 17:29:49,3820,2955
2023-10-07 17:29:57,3830,2955
